,Max Temp,Lon,Lat,% Humidity,% Cloudiness,Wind speed
victoria,26.0,115.24,5.28,88,90,1.0
provideniya,-10.06,-173.23,64.42,100,88,8.52
vikramasingapuram,29.0,77.39,8.71,79,20,1.5
shar,24.54,8.73,7.3,86,68,4.37
east london,21.0,27.91,-33.02,83,20,3.6
saint-philippe,3.33,-73.48,45.36,93,90,5.1
cape town,20.56,18.42,-33.93,68,0,5.1
albany,5.0,-73.75,42.65,80,90,9.8
sur,21.79,59.53,22.57,100,0,4.22
chuy,19.84,-53.46,-33.69,84,64,2.57
hobart,17.78,147.33,-42.88,77,40,4.6
new norfolk,17.78,147.06,-42.78,77,40,4.6
port alfred,20.0,26.89,-33.59,95,20,5.82
belturbet,6.67,-7.44,54.1,73,12,1.79
nome,27.78,-94.42,30.04,22,1,2.82
hithadhoo,29.69,73.08,-0.6,100,80,2.47
kahului,27.0,-156.47,20.89,57,20,6.2
palatka,25.56,-81.64,29.65,15,1,5.7
mount isa,26.0,139.49,-20.73,65,0,3.6
hilo,25.56,-155.08,19.71,64,90,1.5
busselton,10.0,115.35,-33.64,65,48,7.92
rikitea,26.14,-134.97,-23.12,98,48,7.92
hamilton,21.11,-64.78,32.3,73,75,11.3
ribeira grande,17.0,-28.7,38.52,82,75,3.6
dharchula,-1.16,80.53,29.85,68,0,0.97
yellowknife,-0.57,-114.38,62.45,74,20,6.7
panaba,30.54,-88.27,21.28,33,0,3.27
mayo,14.0,-135.9,63.59,35,75,2.6
los llanos de aridane,18.0,-17.92,28.66,68,75,9.3
yakeshi,-15.01,120.73,49.28,55,0,3.17
rocha,19.29,-54.34,-34.48,60,88,1.57
rajakhera,18.44,78.17,26.9,38,0,4.32
thompson,8.0,-97.86,55.74,39,40,5.7
bayir,10.0,28.22,37.27,87,0,1.5
pevek,-26.21,170.27,69.7,45,0,2.52
san patricio,23.54,-56.83,-26.98,67,0,1.52
farah,11.49,62.11,32.37,58,56,1.57
mataura,17.22,168.86,-46.19,83,44,0.45
punta arenas,15.0,-70.91,-53.16,47,40,4.6
hermanus,18.89,19.24,-34.42,83,36,4.02
sungaipenuh,18.64,101.38,-2.08,94,56,0.62
winnemucca,13.0,-117.74,40.97,37,20,6.2
quatre cocos,28.0,57.76,-20.21,78,40,5.1
jamestown,19.59,138.6,-33.21,73,92,2.57
payakumbuh,21.84,100.63,-0.23,92,64,1.02
kargasok,-6.91,80.87,59.06,76,56,1.02
hovd,9.0,10.7,63.83,84,75,12.3
nouadhibou,19.0,-17.03,20.93,82,40,4.1
butaritari,24.59,172.79,3.07,100,92,2.37
havoysund,0.0,24.66,71.0,93,0,11.8
sampit,22.24,112.95,-2.54,96,48,1.32
broken hill,25.0,141.45,-31.97,36,40,1.77
westport,8.33,-9.52,53.8,93,40,3.1
uyskoye,-10.11,60.01,54.37,60,0,1.22
beyneu,2.94,55.19,45.32,84,24,1.27
srednekolymsk,-24.31,153.71,67.46,38,0,1.62
bereda,10.0,-7.54,43.27,93,0,0.5
barrow,22.74,-60.23,-38.31,45,0,5.47
khatanga,-27.36,102.47,71.98,25,0,3.67
bougouni,28.39,-7.49,11.42,35,32,2.87
porbandar,21.34,69.61,21.64,83,0,4.02
mahebourg,28.0,57.7,-20.41,78,40,5.1
leningradskiy,-25.21,178.42,69.38,83,20,1.62
cherskiy,-26.51,161.3,68.75,23,0,1.42
geraldton,-2.0,-86.95,49.72,36,5,4.1
pihuamo,30.0,-103.38,19.25,40,20,5.1
mishan,-12.66,131.88,45.55,69,44,0.77
puerto ayora,29.0,-90.35,-0.74,70,20,3.6
ouadda,28.44,22.4,8.07,24,0,5.02
azle,25.56,-97.55,32.9,28,1,5.1
pasaje,27.44,-103.81,24.93,14,0,0.07
beringovskiy,-18.11,179.32,63.05,77,32,11.67
pyay,22.94,95.22,18.82,63,0,2.52
presidencia roque saenz pena,25.79,-60.44,-26.79,59,0,2.82
upernavik,-23.31,-56.15,72.79,100,32,2.77
pisco,22.0,-76.2,-13.71,30,0,10.3
esperance,31.11,-61.45,10.24,58,40,5.1
bredasdorp,18.89,20.04,-34.53,82,20,3.1
carros,15.56,7.19,43.78,30,0,5.7
lorengau,27.34,147.27,-2.02,100,64,3.62
pangnirtung,-23.0,-65.72,66.15,47,75,6.2
la plaine,11.11,5.76,45.17,45,0,3.1
lompoc,19.44,-120.46,34.64,63,20,5.7
yima,-0.71,111.87,34.75,68,48,1.57
kapaa,27.0,-159.32,22.08,61,20,5.7
kyshtovka,-4.16,76.62,56.56,86,76,1.37
aykhal,-13.81,111.51,65.95,71,80,4.47
nikolskoye,2.0,30.79,59.7,59,90,4.0
andover,5.56,-71.14,42.66,80,90,6.7
san,26.69,-4.9,13.3,28,8,3.37
kamphaeng phet,22.19,99.53,16.47,77,0,0.72
lebu,19.0,38.73,8.96,37,40,2.1
masuda,6.11,131.85,34.68,70,75,2.1
constitucion,24.0,-104.67,23.99,8,20,7.7
pandan,26.34,122.09,11.72,100,0,7.72
san carlos de bariloche,18.0,-71.31,-41.13,45,75,10.3
seoul,-1.0,126.98,37.57,79,1,1.0
hermosillo,27.22,-110.96,29.09,18,20,3.1
torremolinos,14.0,-4.5,36.62,71,20,4.1
basco,15.0,-91.2,40.33,35,1,3.6
olga,19.44,-118.17,34.11,42,1,1.5
talnakh,-21.81,88.39,69.49,59,0,0.97
bluff,21.24,149.07,-23.58,90,0,2.77
castro,12.0,-73.76,-42.48,87,90,9.8
ushuaia,8.0,-68.31,-54.81,93,75,3.6
dikson,-15.01,80.55,73.51,100,56,7.67
chiredzi,22.59,31.67,-21.05,83,64,4.67
xiaoweizhai,4.94,107.51,26.23,97,92,2.57
robertsport,27.34,-11.37,6.75,100,64,3.57
whitehorse,12.22,-135.06,60.72,45,40,4.1
bilibino,-22.31,166.44,68.06,60,48,1.07
lagoa,15.56,-8.45,37.14,77,0,2.1
aksarka,-8.01,67.8,66.56,77,80,3.22
port hardy,13.0,-127.42,50.7,62,75,6.2
fortuna,17.0,-1.13,38.18,39,20,2.1
avarua,29.0,-159.78,-21.21,83,76,4.1
ayan,-4.21,33.6,40.67,66,20,1.07
pesqueira,20.44,-36.7,-8.36,97,32,1.42
san felipe,30.56,-70.73,-32.75,16,0,1.34
sao joao da barra,24.0,-41.05,-21.64,88,0,4.1
muros,13.33,-9.06,42.77,71,0,1.0
mar del plata,17.59,-67.52,-46.43,65,92,6.67
qaanaaq,-32.41,-69.36,77.48,77,0,5.22
lerwick,6.0,-1.15,60.15,75,40,18.5
concordia,22.78,-58.02,-31.4,47,0,0.89
meadow lake,10.0,-108.44,54.13,57,5,1.0
itoman,18.89,127.67,26.12,88,75,9.3
zhezkazgan,3.84,67.71,47.8,88,92,2.32
mawlaik,16.84,94.42,23.63,92,0,0.27
torbay,0.0,-52.73,47.66,89,75,8.7
byron bay,22.0,153.62,-28.65,94,20,2.1
klaksvik,4.0,-6.59,62.23,55,24,13.4
shitanjing,1.11,106.34,39.23,8,0,0.89
high level,13.0,-117.13,58.52,35,40,3.6
galesong,24.0,119.37,-5.32,100,20,1.0
tahe,-18.01,124.71,52.34,62,0,2.12
airai,20.74,125.41,-8.93,89,20,0.87
krutinka,-11.66,71.51,56.01,64,68,1.22
lubbock,19.0,-101.86,33.58,59,75,11.8
angoche,27.09,39.91,-16.23,100,76,1.22
varhaug,7.22,5.65,58.61,100,75,7.7
verkhnevilyuysk,-8.91,120.31,63.45,86,80,2.32
najran,25.0,44.22,17.54,25,0,1.27
lyngseidet,1.0,20.21,69.58,86,75,9.3
portland,11.67,-122.67,45.52,81,90,3.6
vao,-4.91,26.19,59.1,81,8,1.22
katsuura,7.0,134.5,33.93,56,75,5.7
pacific grove,17.0,-121.92,36.62,59,90,2.1
sarkand,2.44,79.91,45.41,64,0,3.62
tevriz,-9.56,72.4,57.51,65,20,1.02
nioro,29.14,-15.05,13.79,28,24,4.17
yuanping,-6.91,112.71,38.72,39,0,2.32
tuktoyaktuk,-17.0,-133.03,69.44,70,75,6.2
carnarvon,14.69,22.13,-30.97,36,24,4.12
kampot,25.0,104.18,10.62,88,20,0.5
atbasar,0.29,68.36,51.81,83,92,1.32
naze,26.0,7.07,5.43,88,40,1.97
conceicao do araguaia,26.34,-49.26,-8.26,92,92,1.47
tiznit,15.74,-9.73,29.7,85,0,1.77
poum,8.0,20.71,41.28,42,0,0.5
shihezi,-3.41,86.03,44.3,88,80,1.67
fare,29.44,-151.02,-16.7,95,92,4.47
port hedland,27.0,118.58,-20.31,94,75,6.2
tasiilaq,-11.0,-37.64,65.61,66,0,6.2
port elizabeth,11.11,-74.98,39.31,49,40,9.8
narsaq,-6.0,-46.05,60.91,85,88,0.97
georgetown,29.0,-58.16,6.8,66,20,7.2
guerrero negro,21.54,-114.04,27.97,44,0,5.12
beloha,22.64,45.06,-25.17,92,92,4.77
kawalu,18.04,108.21,-7.38,93,20,0.87
hasaki,6.0,140.83,35.73,70,75,2.6
atuona,27.69,-139.03,-9.8,100,64,7.42
hanzhong,1.49,107.03,33.08,79,88,1.07
xianyang,0.0,108.72,34.31,63,0,2.0
gravdal,7.78,5.78,59.79,93,75,10.3
paamiut,-3.81,-49.67,61.99,100,68,10.97
saint george,6.0,22.34,39.45,87,0,1.5
yerofey pavlovich,-18.11,121.97,53.97,61,12,1.07
beranang,27.0,101.87,2.88,88,75,0.92
isangel,28.0,169.27,-19.55,78,92,2.1
bambous virieux,28.0,57.76,-20.34,78,40,5.1
nha trang,27.0,109.19,12.24,88,40,1.5
port lincoln,16.29,135.86,-34.72,100,0,2.92
riyadh,20.0,46.72,24.63,40,0,4.6
issia,24.99,-6.58,6.49,75,88,2.57
longyearbyen,-4.0,15.63,78.22,58,75,4.6
chokurdakh,-29.16,147.9,70.62,29,0,4.27
hualmay,25.04,-77.61,-11.1,67,12,2.22
fort nelson,14.0,-122.69,58.81,33,20,2.1
kokopo,26.34,152.27,-4.34,100,12,1.72
yar-sale,-9.11,70.83,66.83,79,64,2.22
shimoda,4.44,138.93,34.7,79,0,0.45
iqaluit,-26.67,-68.52,63.75,56,40,5.7
ust-tsilma,-3.56,52.15,65.44,92,8,2.42
vrede,12.99,29.16,-27.43,96,56,1.77
semirom,-11.06,51.57,31.41,60,0,1.07
patnos,-7.46,42.86,39.23,67,0,1.22
gamba,-24.81,88.52,28.28,22,0,1.37
barsovo,-3.0,73.17,61.17,100,75,3.0
norman wells,-6.0,-126.83,65.28,79,90,1.0
rundu,24.79,19.77,-17.91,34,0,3.67
lac du bonnet,5.56,-96.06,50.25,50,0,2.68
ponta delgada,16.0,-25.67,37.73,77,75,3.6
zeya,-21.01,127.27,53.74,53,0,1.02
simbahan,27.59,120.58,6.3,98,32,4.77
limoges,13.0,1.26,45.84,43,0,3.6
macamic,-6.0,-79.0,48.75,57,40,6.2
weiser,19.0,-116.97,44.25,25,1,2.1
saskylakh,-19.96,114.09,71.97,76,56,8.52
bubaque,25.54,-15.83,11.28,98,44,6.12
quzhou,4.24,118.86,28.97,93,48,3.12
tessalit,22.94,1.01,20.2,13,76,4.42
hami,-1.76,93.51,42.84,62,0,1.92
kruisfontein,19.49,24.73,-34.0,89,64,4.02
ancud,12.0,-73.83,-41.87,87,90,9.8
tiksi,-16.71,128.87,71.64,57,56,2.22
maniitsoq,-20.41,-52.9,65.42,100,0,4.02
half moon bay,16.11,-122.43,37.46,87,90,8.2
lisakovsk,-8.96,62.49,52.55,61,0,1.27
bathsheba,28.0,-59.52,13.22,65,75,9.3
ketchikan,11.0,-131.65,55.34,76,90,2.1
lakes entrance,17.22,147.99,-37.88,96,24,2.87
camacha,17.0,-16.33,33.08,63,40,7.2
namatanai,27.79,152.44,-3.66,100,12,1.37
bethel,6.0,-161.76,60.79,84,40,7.2
bandarbeyla,25.74,50.81,9.49,100,92,3.27
souillac,12.0,-0.6,45.6,57,0,1.0
severo-kurilsk,-0.51,156.12,50.68,97,92,10.47
vaini,17.94,74.49,15.34,78,0,0.52
arman,-6.91,150.17,59.7,84,80,3.32
sosnovo-ozerskoye,-14.36,111.54,52.53,64,0,3.97
awbari,13.44,12.77,26.59,29,0,2.97
steinbach,5.56,-96.69,49.53,56,5,6.2
madinat sittah uktubar,19.0,31.05,29.82,55,40,4.6
ponta do sol,20.34,-46.0,-20.63,86,92,4.37
ravar,8.59,56.81,31.27,84,48,0.97
faanui,28.79,-151.75,-16.48,100,88,3.57
santa vitoria do palmar,19.84,-53.37,-33.52,84,64,2.57
taltal,20.89,-70.49,-25.41,73,0,1.67
saldanha,5.69,-6.55,41.42,63,0,1.97
nanortalik,0.54,-45.24,60.14,96,92,12.42
vila,13.89,8.4,45.18,52,0,1.0
inuvik,-11.0,-133.71,68.36,72,90,5.1
lalin,-6.0,126.86,45.23,67,56,4.0
ngara,16.79,30.66,-2.51,86,8,1.17
yinchuan,1.11,106.21,38.48,8,0,0.89
playas,30.69,-80.39,-2.64,68,44,3.22
colombo,28.0,79.85,6.93,78,40,2.6
aripuana,28.44,-60.63,-9.17,81,56,0.32
alekseyevsk,-3.01,108.35,57.84,81,88,4.82
port blair,24.0,92.75,11.67,94,20,0.5
sitka,13.89,-99.65,37.17,71,56,1.79
gat,20.0,-16.54,14.69,82,40,5.1
simao,12.19,100.79,22.76,69,0,1.17
itarema,24.94,-39.92,-2.92,94,88,1.82
nelson bay,18.33,152.14,-32.72,93,0,3.6
porto novo,19.0,-45.44,-23.68,100,75,1.5
sao filipe,21.44,-24.5,14.9,97,0,5.82
cockburn town,25.64,-71.14,21.46,100,48,1.57
takoradi,28.34,-1.75,4.89,97,24,5.07
ishigaki,18.0,124.16,24.34,93,75,8.2
gazojak,7.49,61.4,41.19,91,24,1.22
rincon,22.78,-81.24,32.3,24,1,4.1
atambua,25.44,124.89,-9.11,100,0,1.62
haapiti,31.0,-149.87,-17.57,70,20,8.2
chimbote,23.64,-78.59,-9.08,78,32,2.82
necochea,21.11,-58.74,-38.55,49,32,0.89
hay river,4.0,-115.79,60.82,60,20,2.6
charcas,21.04,-101.11,23.13,41,0,3.02
puerto madero,22.22,-58.36,-34.61,49,0,2.6
kavieng,27.99,150.8,-2.57,100,56,4.02
touros,26.34,-35.46,-5.2,97,76,2.52
sechura,27.84,-80.82,-5.56,64,8,5.72
belaya gora,-33.26,146.19,68.54,0,0,1.22
cabedelo,28.0,-34.84,-6.97,78,20,2.6
mount gambier,18.0,140.78,-37.83,88,90,5.1
cam ranh,27.0,109.15,11.92,88,40,1.5
stutterheim,21.0,27.43,-32.57,83,20,3.6
zhigansk,-12.01,123.37,66.77,72,68,5.42
warangal,22.49,79.6,17.99,78,0,1.77
padang,25.34,100.36,-0.92,100,68,1.67
ariquemes,27.69,-63.03,-9.91,82,64,1.07
tsuruga,6.11,136.07,35.64,63,20,2.68
maltahohe,22.69,16.98,-24.83,37,0,4.42
kropotkin,8.89,40.58,45.43,72,80,7.87
milkovo,11.67,24.68,41.53,53,8,1.0
prudy,0.49,33.8,51.33,71,64,7.97
nizhniy kuranakh,-12.16,125.49,58.84,69,64,3.02
avdon,15.0,35.18,33.05,92,20,0.97
wuzhou,14.94,111.3,23.48,100,88,2.87
esso,-9.71,158.7,55.93,81,68,4.77
tulum,27.0,-87.46,20.21,57,20,7.2
mortka,-4.61,66.02,59.33,85,36,1.02
naifaru,29.94,73.37,5.44,94,92,3.92
hofn,3.74,-15.21,64.25,98,64,15.77
huarmey,25.59,-78.15,-10.07,52,20,1.47
voh,26.89,164.69,-20.95,95,92,4.37
kaitangata,15.24,169.85,-46.28,88,56,1.97
saint anthony,7.22,-111.68,43.97,70,90,2.6
afsin,-4.91,36.91,38.25,77,0,1.22
erie,2.0,-80.09,42.13,69,90,6.2
codrington,22.0,153.24,-28.95,94,76,1.52
kaeo,18.89,173.78,-35.1,94,0,1.97
chirongui,27.0,45.15,-12.93,88,0,1.5
shelui,18.59,34.2,-4.36,90,48,2.52
henties bay,16.11,14.28,-22.12,88,0,1.79
san angelo,22.22,-100.44,31.46,46,90,6.2
lovozero,-12.11,35.02,68.01,65,8,1.67
anori,28.69,-61.66,-3.74,90,20,1.17
ixtapa,29.0,-105.21,20.71,45,5,5.7
tuatapere,17.22,167.69,-46.13,82,64,0.45
marawi,21.11,124.29,8.0,86,0,1.79
vizinga,-4.61,50.08,61.08,81,12,1.12
xingyi,11.99,102.82,24.19,55,0,2.22
filingue,28.19,3.32,14.35,20,8,4.67
griffith,23.0,146.06,-34.29,53,92,3.6
slave lake,4.0,-114.77,55.28,49,1,1.0
antofagasta,20.0,-70.4,-23.65,68,20,5.1
ipatovo,4.29,42.92,45.72,65,48,5.22
wladyslawowo,5.0,18.4,54.79,80,0,0.5
vanimo,26.89,141.3,-2.67,100,48,5.77
husavik,5.56,-96.99,50.56,50,0,2.24
menongue,24.19,17.68,-14.66,39,68,1.47
cayenne,28.0,-52.33,4.94,74,20,6.2
goalpara,15.54,90.62,26.18,96,80,3.12
yumen,-5.01,97.04,40.29,58,0,3.02
virden,1.94,-100.93,49.85,94,0,3.87
melilla,30.0,-80.23,-0.8,70,20,5.1
gouyave,27.0,-61.73,12.16,78,20,7.2
shenjiamen,9.54,122.3,29.96,97,92,7.32
pierre,6.0,-100.35,44.37,86,1,7.2
siukh,1.49,46.6,43.41,88,8,1.97
jumla,-5.01,82.18,29.28,97,0,0.97
bud,8.0,6.91,62.91,70,75,12.3
bahia blanca,24.99,-62.27,-38.72,48,0,3.02
sorland,5.0,12.69,67.67,86,90,15.4
mana,4.0,20.24,43.52,69,0,0.97
saint-denis,12.22,2.36,48.94,66,0,1.5
abu samrah,10.84,37.18,35.3,83,0,2.52
imeni poliny osipenko,-23.91,136.49,52.42,36,0,1.27
dingle,23.64,122.67,11.0,91,32,4.32
jalu,17.84,21.55,29.03,74,0,2.97
paris,12.22,2.35,48.86,66,0,1.5
antalaha,26.79,50.28,-14.9,87,32,3.67
omboue,28.54,9.26,-1.57,100,36,4.97
canoinhas,18.59,-50.4,-26.18,82,76,2.42
clyde river,-27.0,-68.59,70.47,75,75,2.6
zhanakorgan,4.59,67.25,43.91,82,0,1.27
zanjan,-4.16,48.48,36.67,95,12,1.12
fukue,7.0,136.69,35.03,100,40,11.3
atar,25.49,-13.05,20.52,39,100,3.87
kirakira,29.19,161.92,-10.46,99,24,3.22
conthey,10.56,7.3,46.23,42,0,0.72
nagayo,8.0,129.89,32.82,87,75,1.5
saint-augustin,11.67,-0.61,44.83,62,0,2.1
puerto quijarro,30.0,-57.72,-19.0,62,75,2.1
kodiak,18.33,-94.76,39.95,1,1,3.02
darhan,-8.61,105.92,49.49,59,0,3.27
la rioja,22.64,-66.86,-29.41,69,0,1.72
orotukan,-19.76,151.67,62.26,71,76,1.17
sicuani,10.19,-71.23,-14.27,76,80,1.77
bakloh,4.19,75.92,32.47,51,0,1.27
kieta,26.59,155.63,-6.22,100,12,0.87
ashtian,-0.66,50.0,34.52,87,64,0.92
teya,29.0,-89.07,21.05,39,40,5.7
lake city,2.0,-107.32,38.03,64,90,2.1
balkanabat,0.09,54.36,39.51,82,8,0.97
quchan,-5.16,58.51,37.11,93,8,0.97
harper,23.0,-99.24,30.3,49,90,8.7
bandar-e anzali,9.0,49.46,37.47,93,12,1.22
buraydah,19.0,43.97,26.33,63,5,6.7
chaman,8.84,66.46,30.92,93,92,2.17
yanam,25.29,82.22,16.73,89,0,1.87
bakel,29.54,-12.46,14.9,23,0,4.87
zainsk,-1.0,52.01,55.29,86,0,4.0
dunedin,17.78,170.5,-45.87,72,68,4.02
waipawa,18.33,176.59,-39.94,76,0,3.58
san quintin,18.64,120.52,17.54,79,12,1.12
namibe,25.69,12.15,-15.19,100,20,0.62
vega de alatorre,21.19,-96.65,20.03,92,76,2.92
thayetmyo,21.89,95.18,19.32,66,0,2.12
sompeta,21.44,84.6,18.93,87,0,1.67
yingcheng,7.0,113.57,30.93,93,48,1.0
adrar,17.0,-0.29,27.87,33,0,4.6
gandai,20.84,81.1,21.67,42,0,3.77
mizdah,8.84,12.98,31.45,94,12,0.27
acapulco,29.0,-99.88,16.86,66,5,6.2
grand gaube,28.0,57.66,-20.01,78,40,5.1
palmer,10.0,-149.11,61.6,65,90,6.7
didwana,14.99,74.58,27.4,51,0,1.32
high rock,22.0,-78.28,26.63,53,0,4.6
martapura,23.99,114.85,-3.41,100,12,1.77
montero,25.0,-63.26,-17.34,65,75,3.6
ustyuzhna,1.09,36.43,58.84,92,88,5.07
port macquarie,21.11,152.91,-31.43,100,75,2.6
south sioux city,14.44,-96.41,42.47,70,1,2.6
bani,22.59,120.27,15.89,100,20,1.47
cuamba,20.59,36.54,-14.8,92,44,2.17
caravelas,27.14,-39.27,-17.73,100,92,8.17
concepcion del oro,21.74,-101.42,24.63,35,0,2.12
lavrentiya,-11.81,-170.99,65.58,100,88,12.12
lolodorf,23.14,10.73,3.23,89,76,1.72
banamba,28.39,-7.45,13.55,30,92,3.02
quelimane,26.0,36.89,-17.88,94,75,1.5
tabou,28.34,-7.36,4.42,98,64,5.87
the valley,27.0,-63.06,18.22,69,20,6.7
karacabey,9.0,28.36,40.21,57,0,1.5
lodja,23.79,23.6,-3.52,85,32,1.07
batagay-alyta,-26.46,130.41,67.8,41,48,1.32
oussouye,23.0,-16.54,12.49,88,0,3.1
tura,16.79,90.21,25.52,92,20,2.32
ahuimanu,28.0,-157.84,21.44,78,1,3.6
launceston,15.0,147.14,-41.43,87,0,1.0
haines junction,7.04,-137.51,60.75,55,48,1.42
vanavara,-3.16,102.28,60.35,73,76,4.52
chifeng,-9.06,118.96,42.27,72,0,3.77
galveston,9.44,-86.19,40.58,48,1,8.7
lata,0.64,78.62,30.78,66,0,1.07
sabha,15.49,14.43,27.03,35,0,5.82
calama,23.0,-68.93,-22.46,11,0,9.8
hambantota,24.0,81.12,6.12,100,20,1.0
vila velha,29.0,-38.6,-3.71,79,40,3.1
debelec,6.11,25.62,43.03,86,8,1.17
portel,14.0,-7.71,38.31,44,0,3.1
gaoual,28.29,-13.2,11.75,33,8,2.97
chulumani,13.09,-67.53,-16.41,99,100,0.87
raudeberg,8.0,5.14,61.99,81,56,10.3
mizque,17.69,-65.34,-17.94,71,68,1.77
lom sak,17.74,101.24,16.78,81,0,0.32
tolaga bay,17.04,178.3,-38.37,77,8,1.12
viedma,24.79,-62.99,-40.81,39,0,2.52
filadelfia,26.79,-60.04,-22.35,76,44,2.22
merauke,26.29,140.4,-8.49,96,64,4.47
cabo san lucas,27.78,-109.91,22.89,60,5,4.1
margherita,13.99,95.67,27.29,98,80,0.52
kavaratti,28.69,72.64,10.57,100,0,4.27
ajdabiya,19.99,20.22,30.75,54,0,9.17
sioux lookout,2.0,-91.92,50.1,34,20,1.5
kutum,19.19,24.66,14.2,24,8,3.92
tsuruoka,-0.31,139.81,38.61,80,88,2.77
champasak,22.84,105.88,14.89,93,48,3.42
nadadores,25.44,-101.59,27.03,51,20,2.07
bastrop,23.89,-91.91,32.78,27,1,1.07
mountain home,16.0,-115.69,43.13,41,90,4.6
roblin,2.59,-101.35,51.23,89,0,5.47
kununurra,25.0,128.74,-15.77,83,8,2.1
graaff-reinet,16.09,24.53,-32.25,73,56,2.22
ostrovnoy,-8.01,39.51,68.05,76,0,5.67
jalcocotan,29.0,-105.1,21.48,42,5,4.6
opuwo,22.84,13.84,-18.06,52,80,0.72
kamenka,-0.31,44.05,53.19,97,88,4.47
outlook,12.22,-107.04,51.48,93,0,4.37
general roca,26.0,-67.58,-39.03,31,0,3.6
berlevag,-1.0,29.09,70.86,63,0,11.3
sosua,31.0,-70.52,19.77,78,40,3.6
tazovskiy,-6.06,78.7,67.47,91,76,3.17
wainwright,2.39,-110.86,52.84,88,0,1.27
goderich,-1.11,-81.71,43.74,77,76,7.6
cap malheureux,28.0,57.61,-19.98,78,40,5.1
zhuanghe,1.49,122.97,39.7,100,92,5.57
tautira,31.0,-149.15,-17.73,70,20,8.2
maun,27.0,23.42,-19.99,32,0,3.1
lhokseumawe,28.94,97.15,5.18,97,0,3.92
menzelinsk,-1.0,53.11,55.73,86,0,4.0
vytegra,-0.81,36.45,61.01,78,24,4.02
dagana,21.09,-15.51,16.52,63,88,4.77
piacabucu,27.69,-36.43,-10.41,88,12,2.77
vila franca do campo,16.0,-25.43,37.72,77,75,3.6
kenai,10.0,-151.26,60.55,57,1,7.2
berdigestyakh,-13.66,126.7,62.1,80,76,3.37
atasu,-1.01,71.64,48.68,65,24,1.47
ilhabela,24.69,-45.36,-23.78,100,88,7.72
sheffield,11.11,-1.47,53.38,81,75,5.1
port-cartier,0.0,-66.88,50.03,94,90,6.2
broome,10.56,1.45,52.47,81,75,3.1
yueyang,7.49,113.12,29.36,100,76,3.37
bako,29.14,6.4,9.68,63,48,1.42
soyo,29.0,12.37,-6.13,83,20,2.6
sangar,-16.56,127.47,63.92,56,68,6.12
minab,21.0,57.07,27.15,88,90,2.1
laguna,26.0,-110.01,27.52,22,75,3.1
goundam,24.84,-3.66,16.42,28,88,2.07
port-gentil,25.0,8.78,-0.72,94,20,1.5
hirtshals,7.24,9.96,57.59,88,80,9.22
oranjemund,17.14,16.43,-28.55,89,0,3.87
bilma,26.59,12.92,18.69,15,24,4.67
dingzhou,6.0,115.0,38.51,18,0,7.0
christchurch,18.89,172.64,-43.53,82,32,0.5
longuenesse,9.0,2.25,50.74,87,0,1.5
madison,11.0,-89.38,43.07,37,1,2.1
nosy varika,23.29,48.53,-20.58,100,92,1.87
vaitape,29.24,-151.75,-16.52,98,56,4.32
hirara,21.29,125.28,24.8,100,88,9.52
camargo,26.59,-105.17,27.69,12,32,2.22
cidreira,16.84,-50.22,-30.17,100,92,4.17
dungarpur,19.84,73.71,23.85,33,0,2.87
upington,26.0,21.24,-28.46,24,0,0.5
santiago del estero,25.64,-64.26,-27.8,59,12,3.77
arraial do cabo,26.0,-42.02,-22.97,57,40,4.1
chapais,-2.0,-74.86,49.78,74,90,7.7
